execution_date,stale_signal_date,normal_count,stale_count,shared_count,shared_fraction_of_normal,jaccard
2021-07-09,2021-07-01,20,20,6,0.3,0.17647058823529413
2021-07-16,2021-07-09,20,20,10,0.5,0.3333333333333333
2021-07-23,2021-07-16,20,20,9,0.45,0.2903225806451613
2021-07-30,2021-07-23,20,20,1,0.05,0.02564102564102564
2021-08-06,2021-07-30,20,20,11,0.55,0.3793103448275862
2021-08-13,2021-08-06,20,20,11,0.55,0.3793103448275862
2021-08-20,2021-08-13,20,20,12,0.6,0.42857142857142855
2021-08-27,2021-08-20,20,20,10,0.5,0.3333333333333333
2021-09-03,2021-08-27,20,20,10,0.5,0.3333333333333333
2021-09-13,2021-09-03,20,20,15,0.75,0.6
2021-09-20,2021-09-13,20,20,8,0.4,0.25
2021-09-27,2021-09-20,20,20,9,0.45,0.2903225806451613
2021-10-04,2021-09-27,20,20,12,0.6,0.42857142857142855
2021-10-11,2021-10-04,20,20,11,0.55,0.3793103448275862
2021-10-18,2021-10-11,20,20,11,0.55,0.3793103448275862
2021-10-25,2021-10-18,20,20,5,0.25,0.14285714285714285
2021-11-01,2021-10-25,20,20,6,0.3,0.17647058823529413
2021-11-08,2021-11-01,20,20,11,0.55,0.3793103448275862
2021-11-15,2021-11-08,20,20,11,0.55,0.3793103448275862
2021-11-22,2021-11-15,20,20,8,0.4,0.25
2021-11-30,2021-11-22,20,20,11,0.55,0.3793103448275862
2021-12-07,2021-11-30,20,20,11,0.55,0.3793103448275862
2021-12-14,2021-12-07,20,20,12,0.6,0.42857142857142855
2021-12-21,2021-12-14,20,20,14,0.7,0.5384615384615384
2021-12-29,2021-12-21,20,20,9,0.45,0.2903225806451613
2022-01-05,2021-12-29,20,20,11,0.55,0.3793103448275862
2022-01-12,2022-01-05,20,20,16,0.8,0.6666666666666666
2022-01-20,2022-01-12,20,20,14,0.7,0.5384615384615384
2022-01-27,2022-01-20,20,20,10,0.5,0.3333333333333333
2022-02-03,2022-01-27,20,20,10,0.5,0.3333333333333333
2022-02-10,2022-02-03,20,20,9,0.45,0.2903225806451613
2022-02-17,2022-02-10,20,20,11,0.55,0.3793103448275862
2022-02-25,2022-02-17,20,20,11,0.55,0.3793103448275862
2022-03-04,2022-02-25,20,20,9,0.45,0.2903225806451613
2022-03-11,2022-03-04,20,20,11,0.55,0.3793103448275862
2022-03-18,2022-03-11,20,20,10,0.5,0.3333333333333333
2022-03-25,2022-03-18,20,20,7,0.35,0.21212121212121213
2022-04-01,2022-03-25,20,20,8,0.4,0.25
2022-04-08,2022-04-01,20,20,9,0.45,0.2903225806451613
2022-04-18,2022-04-08,20,20,10,0.5,0.3333333333333333
2022-04-25,2022-04-18,20,20,10,0.5,0.3333333333333333
2022-05-02,2022-04-25,20,20,4,0.2,0.1111111111111111
2022-05-09,2022-05-02,20,20,9,0.45,0.2903225806451613
2022-05-16,2022-05-09,20,20,10,0.5,0.3333333333333333
2022-05-23,2022-05-16,20,20,15,0.75,0.6
2022-05-31,2022-05-23,20,20,11,0.55,0.3793103448275862
2022-06-07,2022-05-31,20,20,12,0.6,0.42857142857142855
2022-06-14,2022-06-07,20,20,6,0.3,0.17647058823529413
2022-06-22,2022-06-14,20,20,6,0.3,0.17647058823529413
2022-06-29,2022-06-22,20,20,12,0.6,0.42857142857142855
2022-07-07,2022-06-29,20,20,16,0.8,0.6666666666666666
2022-07-14,2022-07-07,20,20,12,0.6,0.42857142857142855
2022-07-21,2022-07-14,20,20,10,0.5,0.3333333333333333
2022-07-28,2022-07-21,20,20,10,0.5,0.3333333333333333
2022-08-04,2022-07-28,20,20,12,0.6,0.42857142857142855
2022-08-11,2022-08-04,20,20,15,0.75,0.6
2022-08-18,2022-08-11,20,20,11,0.55,0.3793103448275862
2022-08-25,2022-08-18,20,20,5,0.25,0.14285714285714285
2022-09-01,2022-08-25,20,20,9,0.45,0.2903225806451613
2022-09-09,2022-09-01,20,20,9,0.45,0.2903225806451613
2022-09-16,2022-09-09,20,20,7,0.35,0.21212121212121213
2022-09-23,2022-09-16,20,20,11,0.55,0.3793103448275862
2022-09-30,2022-09-23,20,20,4,0.2,0.1111111111111111
2022-10-07,2022-09-30,20,20,13,0.65,0.48148148148148145
2022-10-14,2022-10-07,20,20,15,0.75,0.6
2022-10-21,2022-10-14,20,20,8,0.4,0.25
2022-10-28,2022-10-21,20,20,8,0.4,0.25
2022-11-04,2022-10-28,20,20,11,0.55,0.3793103448275862
2022-11-11,2022-11-04,20,20,12,0.6,0.42857142857142855
2022-11-18,2022-11-11,20,20,14,0.7,0.5384615384615384
