label,leverage,top_n,reb,lock,full_cagr,full_sharpe,full_dd,min_sharpe,median_sharpe,worst_dd,median_cagr
v15s_70_30,1.0,20,5,off,0.3113,1.105,-0.2862,-0.273,1.243,-0.2785,0.368
accel_80_20,1.0,20,5,off,0.3123,1.166,-0.2716,-0.019,1.415,-0.2241,0.3693
mom121_only,1.0,20,5,off,0.5584,1.526,-0.3025,-0.018,1.564,-0.31,0.5162
tsmom_only,1.0,20,5,off,0.5204,1.47,-0.304,0.026,1.353,-0.2987,0.4234
ema200_only,1.0,20,5,off,0.4427,1.403,-0.3227,0.302,1.176,-0.3096,0.3508
mom_ema,1.0,20,5,off,0.4448,1.362,-0.3272,-0.145,1.355,-0.3048,0.3945
mom_pull_ema,1.0,20,5,off,0.3412,1.243,-0.2807,0.083,1.029,-0.2766,0.2785
unicorn,1.0,20,5,off,0.175,1.087,-0.1943,-0.301,0.989,-0.1829,0.1623
mom_unicorn,1.0,20,5,off,0.2939,1.263,-0.2227,0.108,1.191,-0.2285,0.2589
defensive,1.0,20,5,off,0.1146,0.767,-0.1819,-0.253,0.348,-0.2423,0.0376
mom_lowvol,1.0,20,5,off,0.1373,0.926,-0.1834,-0.471,0.992,-0.188,0.1362
mom_pull_lowvol,1.0,20,5,off,0.1518,0.954,-0.1817,-0.366,1.208,-0.182,0.1894
