label,leverage,top_n,reb,lock,full_cagr,full_sharpe,full_dd,min_sharpe,median_sharpe,worst_dd,median_cagr
ema200_only|single,1.0,20,5,off,0.4427,1.403,-0.3227,0.302,1.176,-0.3096,0.3508
ema200_only|sat_accel_70_lock,1.0,20,5,on,0.4074,1.408,-0.2914,0.225,1.317,-0.2714,0.3634
ema200_only|sat_accel_70_nolock,1.0,20,5,on,0.4079,1.41,-0.2914,0.219,1.311,-0.2744,0.3629
ema200_only|sat_accel_80_lock,1.0,20,5,on,0.4196,1.413,-0.3017,0.256,1.274,-0.2842,0.3609
ema200_only|sat_accel_80_nolock,1.0,20,5,on,0.4199,1.414,-0.3017,0.252,1.269,-0.2862,0.3606
ema200_only|sat_def_70,1.0,20,5,off,0.3481,1.469,-0.2647,0.249,1.25,-0.2576,0.2657
mom_unicorn|single,1.0,20,5,off,0.2939,1.263,-0.2227,0.108,1.191,-0.2285,0.2589
mom_unicorn|sat_accel_70_lock,1.0,20,5,on,0.3027,1.29,-0.2159,0.072,1.307,-0.2243,0.2862
mom_unicorn|sat_accel_70_nolock,1.0,20,5,on,0.3032,1.294,-0.2159,0.066,1.299,-0.2243,0.2858
mom_unicorn|sat_accel_80_lock,1.0,20,5,on,0.3001,1.288,-0.2181,0.084,1.26,-0.2251,0.2738
mom_unicorn|sat_accel_80_nolock,1.0,20,5,on,0.3004,1.29,-0.2181,0.08,1.255,-0.2251,0.2736
mom_unicorn|sat_def_70,1.0,20,5,off,0.2433,1.289,-0.1825,0.072,1.257,-0.1845,0.2066
mom_pull_ema|single,1.0,20,5,off,0.3412,1.243,-0.2807,0.083,1.029,-0.2766,0.2785
mom_pull_ema|sat_accel_70_lock,1.0,20,5,on,0.3338,1.246,-0.2607,0.075,1.113,-0.2521,0.3243
mom_pull_ema|sat_accel_70_nolock,1.0,20,5,on,0.3343,1.248,-0.2607,0.075,1.107,-0.2521,0.3219
mom_pull_ema|sat_accel_80_lock,1.0,20,5,on,0.3364,1.248,-0.2673,0.078,1.067,-0.2593,0.309
mom_pull_ema|sat_accel_80_nolock,1.0,20,5,on,0.3368,1.249,-0.2673,0.078,1.074,-0.2593,0.3075
mom_pull_ema|sat_def_70,1.0,20,5,off,0.2776,1.281,-0.2342,0.313,1.128,-0.237,0.2366
tsmom_only|single,1.0,20,5,off,0.5204,1.47,-0.304,0.026,1.353,-0.2987,0.4234
tsmom_only|sat_accel_70_lock,1.0,20,5,on,0.4592,1.436,-0.2775,0.032,1.408,-0.266,0.4089
tsmom_only|sat_accel_70_nolock,1.0,20,5,on,0.4597,1.439,-0.2775,0.032,1.403,-0.2663,0.4087
tsmom_only|sat_accel_80_lock,1.0,20,5,on,0.4798,1.452,-0.2863,0.03,1.391,-0.2751,0.4141
tsmom_only|sat_accel_80_nolock,1.0,20,5,on,0.4802,1.454,-0.2863,0.03,1.388,-0.2771,0.4139
tsmom_only|sat_def_70,1.0,20,5,off,0.4003,1.513,-0.2497,0.261,1.31,-0.2476,0.3097
