label,leverage,top_n,reb,lock,full_cagr,full_sharpe,full_dd,min_sharpe,median_sharpe,worst_dd,median_cagr,liq_thr,safe_thr,margin_safe
mom_pull_ema|sat_def_70,1.0,15,5,off,0.2751,1.225,-0.247,0.226,1.017,-0.2525,0.2317,1.0,0.8,True
mom_pull_ema|sat_def_70,1.0,15,10,off,0.2562,1.141,-0.241,-0.301,1.238,-0.2557,0.2839,1.0,0.8,True
mom_pull_ema|sat_def_70,1.0,15,21,off,0.1941,0.936,-0.2548,-0.403,0.873,-0.2523,0.1909,1.0,0.8,True
mom_pull_ema|sat_def_70,1.0,20,5,off,0.2776,1.281,-0.2342,0.313,1.128,-0.237,0.2366,1.0,0.8,True
mom_pull_ema|sat_def_70,1.0,20,10,off,0.2631,1.212,-0.2241,-0.226,1.033,-0.2454,0.2196,1.0,0.8,True
mom_pull_ema|sat_def_70,1.0,20,21,off,0.1882,0.948,-0.2312,-0.296,0.935,-0.2386,0.1865,1.0,0.8,True
mom_pull_ema|sat_def_70,1.0,30,5,off,0.2497,1.23,-0.2244,0.027,1.177,-0.2225,0.222,1.0,0.8,True
mom_pull_ema|sat_def_70,1.0,30,10,off,0.2091,1.054,-0.2302,-0.253,1.128,-0.233,0.2184,1.0,0.8,True
mom_pull_ema|sat_def_70,1.0,30,21,off,0.1873,0.986,-0.2341,-0.169,0.926,-0.2424,0.1742,1.0,0.8,True
mom_pull_ema|sat_def_70,1.25,15,5,off,0.3443,1.224,-0.3018,0.222,1.019,-0.3078,0.288,0.9167,0.7333,True
mom_pull_ema|sat_def_70,1.25,15,10,off,0.3193,1.138,-0.2947,-0.294,1.237,-0.313,0.3558,0.9167,0.7333,True
mom_pull_ema|sat_def_70,1.25,15,21,off,0.2396,0.937,-0.3113,-0.391,0.881,-0.3087,0.2354,0.9167,0.7333,True
mom_pull_ema|sat_def_70,1.25,20,5,off,0.3483,1.279,-0.2867,0.313,1.129,-0.2895,0.2955,0.9167,0.7333,True
